"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000165617",68.9093164483484,1.12504718861079,0.194345446622987,5.78890428440693,7.08470523192553e-09,0.00015640903740522,"DACT1"
"ENSG00000120833",222.259738860686,0.716645262475088,0.131254790963906,5.45995507830385,4.76255070972341e-08,0.000219180765539523,"SOCS2"
"ENSG00000167914",15.8763575942023,1.54779639559236,0.276260190172015,5.60267621125076,2.11067283079194e-08,0.000219180765539523,"GSDMA"
"ENSG00000187627",25.4455262873958,1.40746487955628,0.258127535567041,5.45259488285291,4.96400701045257e-08,0.000219180765539523,"RGPD1"
"ENSG00000204528",9.42916776330727,-1.9305482934766,0.35140063171249,-5.49386688370026,3.93226937256428e-08,0.000219180765539523,NA
"ENSG00000211950",112.198163890353,-1.83333514509495,0.338405904413407,-5.41756252235862,6.04170253940377e-08,0.000222304444937362,"IGHV1-24"
"ENSG00000215030",2069.77539146051,1.18124598871595,0.225386845746944,5.24097129449255,1.5973356512091e-07,0.000503776845310619,"RPL13P12"
"ENSG00000275895",56.9962676796739,-1.71457319983678,0.332579258251574,-5.15538223535221,2.53114076385885e-07,0.000698499933046398,"LOC102724594"
"ENSG00000185304",102.252885280548,1.1631782670371,0.228806288956313,5.08368136357998,3.70188763283143e-07,0.00090807303633355,"RGPD2"
"ENSG00000167034",129.475651679357,1.50167902001371,0.299511621378542,5.01375877537583,5.33768977308763e-07,0.00117840177120456,"NKX3-1"
"ENSG00000224515",5.08210842136338,-3.07290055982827,0.632989628365988,-4.85458279586779,1.20640458133455e-06,0.00242125399473845,NA
"ENSG00000177519",8.19287592656941,3.24470593635136,0.672269489711825,4.82649590083619,1.38956252654802e-06,0.00255644765821672,"RPRM"
"ENSG00000143552",14.7100266870042,1.75108122025982,0.367092380730762,4.77013774236879,1.84099987412204e-06,0.00312644263238402,"NUP210L"
"ENSG00000135643",29.413597075893,0.743730230945975,0.156589410394626,4.74955636573174,2.03863371372148e-06,0.00321477974984494,"KCNMB4"
"ENSG00000246985",61.0799013734368,0.634567126444714,0.139849340465467,4.53750532060183,5.69235947382717e-06,0.00837801467357883,"SOCS2-AS1"
"ENSG00000156510",132.100370994864,0.662497804260033,0.148079806824621,4.47392401750407,7.67970414142202e-06,0.00997322519589259,"HKDC1"
"ENSG00000211796",69.4911638532871,1.01975595029656,0.227579928994932,4.48086944573778,7.43395767562919e-06,0.00997322519589259,"TRAV16"
"ENSG00000280022",9.25915039312493,1.49082667591024,0.340515405601027,4.37814751223622,1.19692330575942e-05,0.0146802643451393,NA
"ENSG00000049247",10.3061803576455,1.3193773141295,0.305442005404357,4.31956735087192,1.56335392263354e-05,0.0172570822749903,"UTS2"
"ENSG00000196421",62.8658313090193,0.950861415116632,0.219694989763173,4.32809786031826,1.50402644004206e-05,0.0172570822749903,"C20orf204"
"ENSG00000198929",4.86210842268352,-1.3395414793649,0.311288884710231,-4.30321012140164,1.68341057457383e-05,0.0176974548832698,"NOS1AP"
"ENSG00000167207",1989.12671010881,-0.548049980731398,0.129885889560291,-4.21947282023272,2.44874240799501e-05,0.0245731300642299,"NOD2"
"ENSG00000135953",368.013961085603,-0.523684037451577,0.125545544085394,-4.17126741746704,3.02910128716373e-05,0.0247679515247088,"MFSD9"
"ENSG00000211639",85.3838501329905,-1.55499019087648,0.372335041784736,-4.17631975605318,2.96263290708965e-05,0.0247679515247088,"IGLV4-60"
"ENSG00000211655",90.6094062358333,-1.01291258417575,0.241377807502384,-4.19637826135174,2.71217136424392e-05,0.0247679515247088,"IGLV1-36"
