"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000211639",61.2559600629655,-2.78899186641923,0.346974888696256,-8.03802222373714,9.13000747184631e-16,2.18325868674261e-11,"IGLV4-60"
"ENSG00000071246",491.047820215434,-1.02397095353197,0.182534213923722,-5.6097480659701,2.02621365338849e-08,0.000161509490311597,"VASH1"
"ENSG00000220517",19.7987401240763,1.37747680580577,0.243846128171392,5.6489591043971,1.61422247702402e-08,0.000161509490311597,"ASS1P1"
"ENSG00000211937",244.8011592339,-1.91352298379612,0.35954610065126,-5.32205183238,1.02603325966353e-07,0.000613388333458351,"IGHV2-5"
"ENSG00000075240",794.022334288703,-0.530710935313242,0.101998660740286,-5.20311670233165,1.95973715336984e-07,0.00093726389097066,"GRAMD4"
"ENSG00000211792",102.346211735946,1.23204796019637,0.240118441819625,5.13100097959937,2.8820541024439e-07,0.00114864266252902,"TRAV14DV4"
"ENSG00000211955",292.391388627287,-1.79906465239745,0.360497627374788,-4.99050344796601,6.02221255578637e-07,0.00205727384066457,"IGHV3-33"
"ENSG00000211651",915.656115006769,-1.62152276895594,0.34097385866274,-4.75556330129051,1.97893837716253e-06,0.00371876711118518,"IGLV1-44"
"ENSG00000211796",87.388538015302,1.73608604130446,0.365438208679996,4.75069656119266,2.02717134518384e-06,0.00371876711118518,"TRAV16"
"ENSG00000211935",288.474124089795,-1.87643023651349,0.396185442003707,-4.7362422683263,2.17717306722672e-06,0.00371876711118518,"IGHV1-3"
"ENSG00000241294",337.283864847832,-1.72260700794956,0.360127526613778,-4.78332501863147,1.72418990827226e-06,0.00371876711118518,"IGKV2-24"
"ENSG00000273972",21.4138825259246,1.34006562656583,0.281805258443944,4.75528964209302,1.98162103238149e-06,0.00371876711118518,NA
"ENSG00000280670",60.3333442519471,-1.34946363610691,0.283541588037805,-4.75931465802111,1.94251405885393e-06,0.00371876711118518,"CCDC163"
"ENSG00000290376",10.2420950970503,-1.53623135978633,0.318958015736856,-4.81640618511289,1.46166837428866e-06,0.00371876711118518,"HERC2P3"
"ENSG00000122543",42.4467672809751,0.956677997597636,0.204743994605651,4.67255706053921,2.97472836212197e-06,0.00437750598874919,"OCM"
"ENSG00000211658",114.842191519621,-1.87227676136568,0.402509138029792,-4.65151367874561,3.29507413530236e-06,0.00437750598874919,"IGLV3-27"
"ENSG00000211950",164.837079670281,-2.47887522155899,0.53162763062163,-4.66280358426903,3.11930439744343e-06,0.00437750598874919,"IGHV1-24"
"ENSG00000256660",154.556346301338,-1.35238600659077,0.288820377385774,-4.68244664324498,2.83470987667804e-06,0.00437750598874919,"CLEC12B"
"ENSG00000211670",139.543760480557,-1.72895778618182,0.375278699009255,-4.60713008957426,4.08264601267996e-06,0.00464896733815314,"IGLV3-9"
"ENSG00000278263",1.70381200661999,-3.32489137931525,0.719227792807068,-4.62286275998673,3.78480137479317e-06,0.00464896733815314,NA
"ENSG00000278857",45.5094228391826,-2.07125903813326,0.449472455175724,-4.60820015616639,4.06169573060584e-06,0.00464896733815314,"IGKV1D-12"
"ENSG00000156510",124.342040829483,0.92819007475254,0.203494701808692,4.56124934213346,5.08501534439209e-06,0.00552718054229309,"HKDC1"
"ENSG00000269365",4.76500682847224,3.20205334405919,0.714822357902742,4.47950922163917,7.4814858132842e-06,0.00777846827187239,NA
"ENSG00000175984",27.4819711089781,1.06679842184052,0.239362427683484,4.45683323053183,8.3179260965728e-06,0.00828777361447272,"DENND2C"
"ENSG00000138741",3.94824643350777,1.8079113912814,0.412348157241256,4.3844294185208,1.16290178781677e-05,0.00893673217436673,"TRPC3"
"ENSG00000179241",103.076475304774,-0.845203604978711,0.192760792257579,-4.38472780216267,1.1613089867346e-05,0.00893673217436673,"LDLRAD3"
"ENSG00000198929",4.56254705584689,-1.98254779445712,0.447455026426354,-4.43071968660392,9.39191108106609e-06,0.00893673217436673,"NOS1AP"
"ENSG00000211747",547.289534427529,0.79516169142368,0.181592176048444,4.37883233037282,1.19316884187239e-05,0.00893673217436673,"TRBV20-1"
"ENSG00000258647",2.90881325475921,2.45708306071823,0.558710452965313,4.39777535515481,1.09366089222573e-05,0.00893673217436673,NA
"ENSG00000272034",16.3962523934739,1.28341748617573,0.290481467798196,4.4182422235189,9.95068665034015e-06,0.00893673217436673,"SNORD14A"
"ENSG00000272808",2.64347646971383,2.27140323421043,0.515825023254087,4.4034374677701,1.0654900543024e-05,0.00893673217436673,"GCAWKR"
"ENSG00000280411",172.484670001102,-1.69245917243935,0.386553229401564,-4.37833406555549,1.19589942533239e-05,0.00893673217436673,"IGHV1-69D"
"ENSG00000211664",101.565807264381,-1.55786237943796,0.357225712764989,-4.36100292831619,1.29467633690305e-05,0.00910576330716549,"IGLV2-18"
